CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5906366,1,3,13,M,2
5907808,1,1,31,M,2
5907812,1,2,6,M,1
5907812,2,1,25,F,1
5907868,1,1,19,M,3
5908644,1,1,61,M,1
5908651,1,1,20,M,2
5908659,1,1,21,M,2
5908664,1,1,53,F,1
5908668,1,1,51,M,1
5908668,1,1,64,M,1
5908672,1,1,47,M,1
5908672,1,2,1,F,1
5908675,1,1,26,M,1
5908675,1,1,51,M,2
5908675,2,2,49,M,1
5908680,1,1,38,F,1
5908682,1,1,22,M,2
5908682,2,2,10,M,1
5908682,3,2,6,F,2
5908682,4,2,56,F,1
5908683,1,2,24,M,3
5908688,1,2,21,F,1
5908688,1,2,24,M,1
5908696,1,1,53,M,3
5908698,1,1,25,M,1
5908698,1,2,3,F,1
5908698,2,2,4,M,1
5908699,1,1,55,F,1
5908703,1,1,71,M,1
5908708,1,2,30,F,2
5908708,1,2,38,M,1
5908708,2,1,31,M,2
5908715,1,2,63,F,1
5908715,1,2,28,F,1
5908720,1,1,29,F,1
5908720,2,2,28,M,1
5909613,1,1,56,M,1
5909649,1,1,70,M,2
5909728,1,1,23,F,1
5909728,2,2,34,M,1
5909736,1,1,43,M,1
5910063,1,1,61,M,4
5910063,1,2,11,M,1
5910063,1,1,50,M,3
5910063,1,1,54,F,2
5910063,2,2,8,M,1
5910064,1,2,23,M,1
5910064,1,1,26,F,4
5910104,1,1,54,M,4
5910109,1,3,83,M,4
5910109,1,2,43,F,1
5910137,1,1,70,M,4
5910137,2,2,70,F,3
5910141,1,2,14,F,2
5910141,1,2,13,M,4
5910141,2,2,43,M,1
5910141,2,1,41,M,3
5910141,3,2,14,F,3
5910141,4,2,40,F,3
5910180,1,1,45,F,4
5910180,1,1,18,F,3
5910180,2,2,19,F,3
5910224,1,1,20,M,3
5910224,1,1,57,M,3
5910224,2,2,998,M,3
5910224,3,2,998,M,3
5910224,4,2,31,M,4
5910224,5,2,25,M,4
5910224,6,2,43,M,3
5910224,7,2,58,F,4
