CASE_ID,CITY,COUNTY,ACCIDENT_YEAR,LATITUDE,LONGITUDE,SEVERITY,JURIS,COLLISION_TIME,CNTY_CITY_LOC,DISTANCE,PARTY_COUNT,PCF_VIOLATION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,DAY_OF_WEEK_1,DAY_OF_WEEK_2,DAY_OF_WEEK_3,DAY_OF_WEEK_4,DAY_OF_WEEK_5,DAY_OF_WEEK_6,DAY_OF_WEEK_7,CHP_SHIFT_1,CHP_SHIFT_2,CHP_SHIFT_3,CHP_SHIFT_4,CHP_SHIFT_5,WEATHER_1_-,WEATHER_1_A,WEATHER_1_B,WEATHER_1_C,WEATHER_1_D,WEATHER_2_-,WEATHER_2_C,WEATHER_2_G,INTERSECTION_-,INTERSECTION_N,INTERSECTION_Y,STATE_HWY_IND_N,STATE_HWY_IND_Y,TOW_AWAY_N,TOW_AWAY_Y,PRIMARY_COLL_FACTOR_-,PRIMARY_COLL_FACTOR_A,PRIMARY_COLL_FACTOR_B,PRIMARY_COLL_FACTOR_C,PRIMARY_COLL_FACTOR_D,PCF_VIOL_CATEGORY_- ,PCF_VIOL_CATEGORY_00,PCF_VIOL_CATEGORY_01,PCF_VIOL_CATEGORY_03,PCF_VIOL_CATEGORY_05,PCF_VIOL_CATEGORY_06,PCF_VIOL_CATEGORY_07,PCF_VIOL_CATEGORY_08,PCF_VIOL_CATEGORY_09,PCF_VIOL_CATEGORY_10,PCF_VIOL_CATEGORY_11,PCF_VIOL_CATEGORY_12,PCF_VIOL_CATEGORY_13,PCF_VIOL_CATEGORY_14,PCF_VIOL_CATEGORY_17,PCF_VIOL_CATEGORY_18,PCF_VIOL_CATEGORY_21,PCF_VIOL_CATEGORY_22,HIT_AND_RUN_F,HIT_AND_RUN_M,HIT_AND_RUN_N,TYPE_OF_COLLISION_-,TYPE_OF_COLLISION_A,TYPE_OF_COLLISION_B,TYPE_OF_COLLISION_C,TYPE_OF_COLLISION_D,TYPE_OF_COLLISION_E,TYPE_OF_COLLISION_F,TYPE_OF_COLLISION_G,TYPE_OF_COLLISION_H,MVIW_-,MVIW_1,MVIW_2,MVIW_A,MVIW_B,MVIW_C,MVIW_E,MVIW_G,MVIW_I,MVIW_J,PED_ACTION_-,PED_ACTION_A,PED_ACTION_B,PED_ACTION_C,PED_ACTION_D,PED_ACTION_E,PED_ACTION_F,ROAD_SURFACE_-,ROAD_SURFACE_A,ROAD_SURFACE_B,ROAD_SURFACE_C,ROAD_COND_1_-,ROAD_COND_1_A,ROAD_COND_1_B,ROAD_COND_1_C,ROAD_COND_1_D,ROAD_COND_1_F,ROAD_COND_1_G,ROAD_COND_1_H,ROAD_COND_2_-,ROAD_COND_2_H,LIGHTING_-,LIGHTING_A,LIGHTING_B,LIGHTING_C,LIGHTING_D,LIGHTING_E,CONTROL_DEVICE_-,CONTROL_DEVICE_A,CONTROL_DEVICE_B,CONTROL_DEVICE_D,STWD_VEHTYPE_AT_FAULT_-,STWD_VEHTYPE_AT_FAULT_A,STWD_VEHTYPE_AT_FAULT_C,STWD_VEHTYPE_AT_FAULT_D,STWD_VEHTYPE_AT_FAULT_E,STWD_VEHTYPE_AT_FAULT_F,STWD_VEHTYPE_AT_FAULT_G,STWD_VEHTYPE_AT_FAULT_I,STWD_VEHTYPE_AT_FAULT_J,STWD_VEHTYPE_AT_FAULT_L,STWD_VEHTYPE_AT_FAULT_M,STWD_VEHTYPE_AT_FAULT_N,CHP_ROAD_TYPE_0,CHP_ROAD_TYPE_1,BEAT_TYPE_0,BEAT_TYPE_1,BEAT_TYPE_2,BEAT_TYPE_3,POPULATION_2,POPULATION_3,POPULATION_4,POPULATION_5,POPULATION_6,POPULATION_9,DIRECTION_E,DIRECTION_N,DIRECTION_S,DIRECTION_W,CHP_VEHTYPE_AT_FAULT_bicycle,CHP_VEHTYPE_AT_FAULT_emergency,CHP_VEHTYPE_AT_FAULT_motorcycle,CHP_VEHTYPE_AT_FAULT_other,CHP_VEHTYPE_AT_FAULT_passenger_car,CHP_VEHTYPE_AT_FAULT_pedestrian,CHP_VEHTYPE_AT_FAULT_truck,school_zone
9476812,SAN BERNARDINO,SAN BERNARDINO,2022,34.09968948364258,-117.33299255371094,0,3610,1937,3610,0.0,2,20002.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
9480305,COLTON,SAN BERNARDINO,2022,34.051998138427734,-117.28993225097656,0,3603,2205,3603,0.0,2,21950.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
9668752,YUCAIPA,SAN BERNARDINO,2024,34.033939361572266,-117.0476531982422,1,3600,2302,3640,0.0,3,23153.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
81522617,ONTARIO,SAN BERNARDINO,2021,34.05508804321289,-117.66986083984376,0,3607,735,3607,300.0,2,21654.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
82193996,RIALTO,SAN BERNARDINO,2023,34.092220306396484,-117.40090942382812,1,3609,2105,3609,193.0,2,21954.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
90203246,UNINCORPORATED,SAN BERNARDINO,2016,35.01857,-116.50226,1,9835,1420,3600,7814.0,3,22350.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
8990563,REDLANDS,SAN BERNARDINO,2019,34.063079833984375,-117.22176361083984,0,3608,1847,3608,15.0,2,21954.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9189368,VICTORVILLE,SAN BERNARDINO,2020,34.48543930053711,-117.2993392944336,0,3600,1114,3612,0.0,2,21954.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
9195151,HIGHLAND,SAN BERNARDINO,2020,34.12128,-117.22621,1,3600,1224,3618,0.0,2,21650.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9241099,YUCAIPA,SAN BERNARDINO,2021,34.018287658691406,-117.05624389648438,0,3600,1538,3640,328.0,2,22350.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8404918,RIALTO,SAN BERNARDINO,2018,34.08987045288086,-117.22447204589844,1,3609,2124,3609,55.0,2,21954.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8459008,FONTANA,SAN BERNARDINO,2017,34.10643794,-117.47120936,0,3604,1951,3604,19.0,2,22107.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8538444,RANCHO CUCAMONGA,SAN BERNARDINO,2017,34.14446764,-117.55864,0,3600,719,3616,375.0,2,21650.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
8821070,RIALTO,SAN BERNARDINO,2019,34.09083938598633,-117.35724639892578,0,3609,825,3609,0.0,3,22350.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8831892,CHINO,SAN BERNARDINO,2019,33.97601,-117.61054,0,3602,1413,3602,0.0,2,21457.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8882488,VICTORVILLE,SAN BERNARDINO,2019,34.52898025512695,-117.30264282226562,0,3600,1404,3612,0.0,2,21950.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
6902801,SAN BERNARDINO,SAN BERNARDINO,2015,34.13587,-117.26121883,0,3610,1039,3610,30.0,2,21954.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
6979816,UNINCORPORATED,SAN BERNARDINO,2015,34.06694,-117.40394,0,9860,50,3600,1584.0,2,22350.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
